name,station,category,review,address,latitude,longitude
더트랩 수유 방탈출,수유역,방탈출카페,1469,서울 강북구 도봉로 363 구봉빌딩 4층,37.63994710000001,127.027246
더홀릭보드게임카페 수유역점,수유역,보드카페,2884,서울 강북구 노해로8길 29 4층,37.6385329,127.0241951
모비딕 만화카페&가챠샵,수유역,만화방,531,서울 강북구 도봉로 350 삼주빌딩 4층,37.6385766,127.0266946
공자왈만화방,수유역,만화방,634,서울 강북구 노해로8길 29 현대크리스탈 5층,37.6385329,127.0241951
벌툰 파리지앵 수유역점,수유역,만화방,127,서울 강북구 한천로139길 42 2층 204호,37.638904,127.0249021
보드게임카페 레드버튼 수유역점,수유역,보드카페,1625,서울 강북구 한천로139길 42 3층 302호,37.638904,127.0249021
핑크핑영화룸카페,수유역,룸카페,90,서울 강북구 노해로8길 28 3층,37.638283,127.024383
리틀비틀 수유점,수유역,"키즈카페,실내놀이터",404,서울 강북구 노해로 70 5층 리틀비틀키즈카페,37.6418278,127.0226705
럭키골프클럽,수유역,골프연습장,18,"서울 강북구 한천로 1013 2층,3층",37.6384442,127.0285952
내맘대로 꾸미는 슬라임,수유역,슬라임카페,97,서울 강북구 삼양로 421,37.6410501,127.016616
수 파크스크린골프,수유역,파크골프장,13,서울 강북구 도봉로67길 18 . 3층 03호,37.6307808,127.0229483
키즈마루,수유역,"키즈카페,실내놀이터",173,서울 강북구 삼양로 433 삼원빌딩 4층,37.64216529999999,127.0162809
쥬니버스,수유역,동물카페,264,서울 강북구 삼양로 447 지하1층 쥬니버스,37.64330560000001,127.0159155
수만화카페,수유역,만화방,115,서울 도봉구 도봉로 454 3층,37.6462157,127.0337088
수유재래시장,수유역,시장,802,서울 강북구 도봉로71길 26 수유재래시장,37.6314922,127.0224643
수유 펀치라인복싱,수유역,"복싱,권투장",71,"서울 강북구 삼양로 472 2층, 3층 펀치라인복싱",37.6453729,127.0158044
리우공방,수유역,공방,224,서울 강북구 삼양로 369 1층 리우공방,37.63638359999999,127.0170743
컨트롤비트코리아댄스학원 본점,수유역,댄스교육,200,서울 강북구 도봉로 369 2층,37.6403694,127.0277078
위드피아노 수유점,수유역,피아노,224,서울 강북구 덕릉로 101 보람빌딩 2층,37.6349962,127.0250168
고메스퀘어 수유점,수유역,"일식,초밥뷔페",2852,서울 강북구 도봉로 308 9층,37.6356916,127.0238173
이로운날들,수유역,파티복대여,69,서울 도봉구 우이천로 284 J빌딩 4층,37.6436384,127.0305779
신매콤터,수유역,종합분식,1433,서울 강북구 오패산로 412,37.6374943,127.026614
조이앤플레이음악학원 창동점,수유역,피아노,205,서울 도봉구 우이천로20길 7 건영캐스빌 상가 206호,37.6414403,127.0340343
강북 북부시장,수유역,시장,80,서울 강북구 한천로123길 26,37.6362361,127.0303452
힐링뮤직아카데미,수유역,드럼,65,서울 강북구 한천로 1103 3층,37.6438657,127.0209714
피어나폴댄스,수유역,댄스교육,77,서울 강북구 오패산로77길 16 3층302호,37.6369781,127.0256622
스튜디오 퍼플제이,수유역,"셀프,대여스튜디오",13,서울 강북구 덕릉로41길 56 유앤아이빌딩 5층,37.6344358,127.0181455
수유전통시장,수유역,시장,247,서울 강북구 도봉로67길 18 수유시장,37.6307808,127.0229483
스시노칸도 수유점,수유역,"초밥,롤",7914,서울 강북구 한천로139나길 1 3층,37.6390657,127.0252419
국립민속박물관 어린이박물관,경복궁,박물관,1677,서울 종로구 삼청로 37,37.58084729999999,126.9768515
국립고궁박물관,경복궁,박물관,4441,서울 종로구 효자로 12 국립고궁박물관,37.5766084,126.974951
국립민속박물관,경복궁,박물관,5221,서울 종로구 삼청로 37,37.58084729999999,126.9768515
경복궁,경복궁,궁궐,35856,서울 종로구 사직로 161 경복궁,37.579617,126.977041
대한민국역사박물관,경복궁,박물관,4053,서울 종로구 세종대로 198 대한민국역사박물관,37.5739432,126.9779299
현대화랑,경복궁,"갤러리,화랑",455,서울 종로구 삼청로 8,37.5766382,126.9798457
국립현대미술관 서울,경복궁,미술관,24827,서울 종로구 삼청로 30,37.5795117,126.9805862
학고재,경복궁,"갤러리,화랑",2076,서울 종로구 삼청로 50,37.5803283,126.9802958
통의동 보안여관,경복궁,"갤러리,화랑",1269,서울 종로구 효자로 33,37.57904389999999,126.9736188
아트사이드 갤러리,경복궁,"갤러리,화랑",656,서울 종로구 자하문로6길 15 아트사이드 갤러리,37.5782277,126.9729419
국제갤러리,경복궁,"갤러리,화랑",4720,서울 종로구 삼청로 54,37.5807226,126.9808479
유스퀘이크,경복궁,전시관,148,서울 종로구 효자로 25,37.5783286,126.9736927
책방오늘,경복궁,독립서점,477,서울 종로구 자하문로6길 11 1호,37.5781982,126.972777
페레스프로젝트,경복궁,"갤러리,화랑",318,서울 종로구 율곡로1길 37 1층,37.5775789,126.9804722
미앤갤러리,경복궁,"갤러리,화랑",56,서울 종로구 자하문로10길 13-1,37.5795256,126.9723511
리안갤러리 서울,경복궁,"갤러리,화랑",233,서울 종로구 자하문로12길 9,37.5798204,126.9719442
한복남 경복궁점,경복궁,한복대여,3469,서울 종로구 사직로 133-5,37.5762335,126.9733125
학고재 아트센터,경복궁,"갤러리,화랑",245,서울 종로구 삼청로 48-4,37.58024229999999,126.9804411
지지배배한복 경복궁점,경복궁,한복대여,1707,서울 종로구 자하문로2길 18 3층 지지배배,37.5763759,126.9736739
참한복 & 스튜디오,경복궁,한복대여,1480,서울 종로구 종로1길 55 경제통신사빌딩 2층,37.575338,126.9788824
무서록,경복궁,"갤러리,화랑",76,서울 종로구 자하문로6길 12-16 2층,37.577861,126.9725071
디아 컨템포러리,경복궁,"갤러리,화랑",18,서울 종로구 율곡로1길 37 2층,37.5775789,126.9804722
한복남 프리미엄,경복궁,한복대여,1072,서울 종로구 사직로 133-9 한복남 프리미엄,37.57619680000001,126.9732928
나예한복 경복궁점,경복궁,한복대여,333,서울 종로구 사직로 133-10 1층 나예한복,37.5763755,126.9734463
아트스페이스3,경복궁,"갤러리,화랑",168,서울 종로구 효자로7길 23 지하 1층,37.5784234,126.9733336
원데이한복,경복궁,한복대여,274,서울 종로구 사직로 137 지하층,37.5760507,126.9738485
한복소녀,경복궁,한복대여,962,서울 종로구 자하문로2길 8 2층 서울 종로구 적선동 98),37.5763674,126.9731015
갤러리시몬,경복궁,"갤러리,화랑",184,서울 종로구 자하문로6길 20 갤러리시몬,37.5780759,126.9732512
세계장신구박물관,경복궁,박물관,26,서울 종로구 북촌로5나길 2 세계장신구박물관,37.580936,126.9817903
별궁터한복 경복궁점,경복궁,한복대여,335,서울 종로구 자하문로2길 7 2층,37.5765953,126.9731545
