"통계분류(1)",통계분류(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"통계분류(1)",통계분류(2),표본수,카페,식당,아파트 내 (집주변) 공터,생활권 공원,영화관,대형마트,헬스클럽,재래시장,쇼핑몰,산,목욕탕,마을회관,종교시설,기타 실내공간,도서관,운동경기장,PC방,미용관리실,노인복지회관,학교시설,주제공원,국민체육센터,골프장,기타실내체육시설,박물관,캠핑장,수영장,주민자치센터,생활문화센터,노래방,골프연습장,찜질방,공연장,전시관,학교운동장,당구장,사설문화센터,학원,낚시터,역사/문화유적지,해수욕장,테마파크,유원지,문예회관,대형서점,미술관,문화의 집,기념관,사회복지관,기타실외체육시설,리조트,삼림욕장,평생 학습관,기타 실외공간,복합 체육관,여성회관,식물원,농어촌 복합 체육시설,클럽,복합문화거리,동물원,청소년수련관,지방문화원,농산어촌체험장,오락장,수족관,경마/경정/경륜장,만화방,빙상경기장,스키장
"종사자지위별",기타종사자,66,15.6,9.9,15.8,1.8,5.9,7.5,8.8,4.6,1.4,-,-,6.9,0.2,-,-,-,-,4.3,-,-,-,0.6,-,-,-,1.1,-,-,-,-,3.6,-,-,3.8,4.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.6,-,0.5,-,-,-,-,1.6,0.5,-,-,-,-,-,-,-,-,-,-,-,-
"종사자지위별",해당없음(무직),3393,12,6.8,13.3,8.6,4.1,4.1,3.4,4.3,1.9,1.2,2.1,2.5,1.8,1.5,2.4,1.1,1.5,1.2,2.3,2.8,0.7,1.2,0.3,0.9,1.1,0.4,0.7,1,0.9,0.9,0.5,0.8,0.9,0.8,1.1,0.1,0.7,1.3,0.2,0.5,0.5,0.2,0.6,0.4,0.5,0.4,0.2,0.1,0.5,0.4,0.2,0.3,0.4,0.3,0.2,0.3,0.1,0.1,0,0,0,0.1,0.1,0,0,0,-,0,-,0
"가구소득별",100만원 미만,828,3,5.5,21.2,8.1,1.9,1.9,1.8,5.2,0.2,1.5,4.2,12.6,3.7,2.3,2,0.8,0.6,1.8,8.5,0.6,1.2,0.6,-,0.6,0.3,-,0.3,1.3,-,0.1,-,0.2,0.3,0.1,1,-,0.1,0.1,0.1,0.8,-,0.1,0.7,0.5,0.1,-,-,0.2,1,0.5,0.1,0.3,-,0.7,0.2,-,0.5,0.2,-,0.2,0.1,-,-,-,-,-,-,0.1,-,-
"가구소득별",100~200만원,744,3.5,10,21.3,10.5,0.9,2.7,1.4,8.4,0.4,1,4.9,10.5,3,1.2,0.4,0.2,0.3,0.5,5.1,0.6,0.1,1.1,0.6,0.8,0.7,0.1,1.1,0.9,1.3,0.2,-,0.4,0.1,0.1,0.7,0.5,0.2,-,0.4,0.4,-,-,0.3,-,0.4,0.2,-,-,1,0.2,-,-,0.1,0.6,0,-,0.2,0.1,-,0.2,-,-,-,0.1,-,-,-,-,-,-
"가구소득별",200~300만원,1300,8,12.9,15.5,9.1,3.6,4.4,2.4,5.2,1.7,2.2,2.5,3.6,3.1,1.8,1,0.6,1.1,1.3,1.2,0.5,1.4,1.4,0.3,1,0.3,0.3,1.1,1.5,1.1,0.4,0.4,0.6,0.4,0.4,0.3,0.1,0.7,0.1,0.4,1.1,0.4,0.6,0.7,0.1,0.4,0.1,0.2,-,0.4,0,0.1,0.8,-,0.3,0.1,0.3,0.1,0,0,-,-,0.2,-,0.1,-,-,-,0.1,-,-
"가구소득별",300~400만원,1614,11.2,12.9,12.6,8.1,4.2,6.1,3,4.1,2.5,1.6,2.1,2,1.7,1.3,1.4,1.6,1.3,0.9,1,1.3,0.8,0.8,0.4,1.1,0.9,0.3,0.3,0.8,0.9,1.4,0.4,1.2,0.3,0.4,1.4,0.5,0.6,0.5,0.3,0.3,0.6,0.3,0.8,0.3,0.2,0.2,0,-,0.6,0.4,0.2,0.2,0.3,0.2,0,0.1,0.1,0.2,0.1,0.1,0,0.1,0.2,0.1,-,0.1,-,-,0,-
"가구소득별",400~500만원,1725,14.1,11.3,10.2,6.1,5.2,5.3,3.4,4,2.7,2.2,1.7,0.5,0.8,2,1.5,1.6,1.7,1.1,0.6,1.4,1.2,0.8,1,1,1,1,0.7,0.8,0.7,0.7,0.7,0.4,0.8,0.5,0.9,0.8,1.1,0.8,0.8,0.5,0.5,0.3,0.7,0.2,0.3,0.2,0.7,0.7,0.2,0.6,0.3,0.1,0.3,0.2,0.4,0.5,-,0.1,0,0.1,0.1,-,-,0.1,-,-,0.1,-,-,0
"가구소득별",500~600만원,1566,16,11.3,7.6,5.8,5,5.4,5.3,2,3.1,2,2.3,0.3,1.4,1.3,1.7,1.4,0.8,1.5,0.4,1.8,1.3,1.1,0.9,0.8,0.8,1.2,0.8,0.9,0.6,0.8,1,0.7,0.9,0.6,0.5,0.9,0.6,1,0.6,0.4,0.3,0.8,0.1,0.7,0.4,0.6,0.5,0.5,0.3,0.5,0.3,0.2,0.4,0.1,0.2,-,0.2,0.1,0.1,0.1,0.1,0.2,0.1,-,0.1,0,-,-,-,-
"가구소득별",600만원 이상,2263,16.6,9.9,6.4,6.6,6.9,4,6.8,2.2,3,2.7,1.3,0.2,1.9,0.9,1.2,1.3,1.6,1.1,0.1,0.8,1,1.3,1.9,0.9,1.1,1.4,1.1,0.4,0.9,0.8,1.3,0.8,0.9,1.1,0.2,0.7,0.3,0.5,0.6,0.5,0.8,0.6,0.2,0.6,0.6,0.7,0.4,0.5,0.1,0.1,0.4,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,-,-,0,0.1,0,-,0,0,-
"지역규모별",대도시,4304,13.2,12.1,10.2,8.5,6.3,3.5,5.3,3.5,2.3,2.1,2.1,0.5,2,1.8,1.2,1.4,1.1,0.9,1,0.9,0.7,1.1,0.9,0.7,1.1,1.1,0.8,0.7,0.8,0.6,0.7,0.6,0.6,0.9,0.7,0.7,0.6,0.7,0.2,0.6,0.3,0.4,0.5,0.5,0.4,0.4,0.5,0.3,0.3,0.2,0.2,0,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,-,0,0,0
