name,station,score,review,address,latitude,longitude
다락,회현역,4.1,44,서울 중구 덕수궁길 15 서울특별시청 서소문청사 13층,37.5643408,126.9756125
계단집,회현역,4.4,350,서울 중구 퇴계로6길 35,37.5569212,126.9792145
투썸플레이스 서소문점,회현역,4.0,34,서울 중구 서소문로 135 연호빌딩 1층,37.5640071,126.9758269
홍만당 명동본점,회현역,3.7,167,서울 중구 명동8길 11-6 1층,37.563152,126.9849665
스타벅스 명동입구점,회현역,4.2,56,서울 중구 남대문로 68-1,37.5631917,126.9822598
적당,회현역,,904,서울 중구 을지로 29 1층,37.56646629999999,126.9810493
엘카페커피로스터스,회현역,4.2,194,서울 용산구 후암로 68 지하1층 1호,37.5519553,126.9770343
김동훈커피,회현역,4.0,45,서울 중구 퇴계로 49 2층,37.5584387,126.9777966
스타벅스 회현역점,회현역,3.7,33,서울 중구 퇴계로 72 리더스뷰남산 1층,37.5591263,126.9806365
커피루소 정동점,회현역,4.1,558,"서울 중구 정동길 17 이화정동빌딩 1, 2층",37.5671155,126.9703993
마뫼,회현역,,140,서울 중구 소파로 41 1층,37.5551714,126.9813491
고양이놀이터 명동점,회현역,4.3,226,서울 중구 명동8길 37-14 3층,37.5619672,126.9854908
가배도 명동점,회현역,4.1,452,서울 중구 퇴계로18길 10 1층,37.5604145,126.9851277
스타벅스 환구단점,회현역,4.5,231,서울 중구 소공로 112 반도조선아케이드,37.5644378,126.9800994
스타벅스 남산단암점,회현역,3.6,27,서울 중구 소월로 10 단암빌딩,37.5585205,126.9754518
엔제리너스 명동점,회현역,4.2,41,서울 중구 명동3길 10 개양빌딩 1-2층,37.5638515,126.9836024
포비 광화문점,회현역,4.3,874,서울 종로구 종로3길 17 광화문D타워 1층 21호,37.5709867,126.97892
남대문커피,회현역,4.5,29,서울 중구 남대문로 10,37.5605234,126.9770263
커피그래,동대입구역,4.2,322,서울 중구 동호로 204 청화빌딩 1층 102호,37.5562164,127.0099543
카페사루,동대입구역,4.6,107,서울 중구 동호로12길 53,37.5575743,127.0116003
노띵커피,동대입구역,4.3,106,서울 중구 퇴계로50길 33-2 1층,37.5610603,127.0011461
헤베커피,동대입구역,4.5,255,서울 중구 필동로 32 낙원빌딩 1층,37.5588711,126.9960502
스타벅스 동대입구역점,동대입구역,4.1,75,서울 중구 장충단로 166,37.5596792,127.0062029
스타벅스 동대문공원점,동대입구역,3.4,74,"서울 중구 장충단로 229 1,2층",37.5655533,127.0074745
스타벅스 장충라운지R점,동대입구역,4.2,572,서울 중구 장충단로4길 25,37.5610365,127.0073349
수잔나의앞치마,동대입구역,4.2,875,서울 중구 퇴계로49길 24,37.5633042,126.9996065
펄시커피,동대입구역,4.4,471,서울 중구 동호로20길 34-57 1층,37.5593262,127.0096291
카페드리옹 장충점,동대입구역,4.2,310,서울 중구 장충단로 179,37.5610776,127.0057509
스타벅스 약수역점,동대입구역,4.0,73,서울 중구 다산로 129,37.5554348,127.0107292
러시아케이크,동대입구역,4.4,606,서울 중구 을지로42길 7 1층,37.5658276,127.0058837
피어커피 광희문점,동대입구역,4.6,259,서울 중구 청구로 123 1-2층,37.5628011,127.0102428
호랑이,동대입구역,3.6,793,서울 중구 을지로 157 대림상가 3층 라열 351호,37.5675231,126.9954275
티프 동대문,동대입구역,4.2,427,서울 중구 퇴계로53길 6-17 지하1층,37.5642258,127.0043503
하우스 커피 앤 디저트,동대입구역,4.1,332,서울 중구 필동로1길 30,37.5592871,126.9985627
리프커피,동대입구역,3.8,600,서울 중구 동호로 195-15 1층,37.55501140000001,127.0094519
로이터,동대입구역,4.0,140,서울 중구 필동로 53 삼경빌딩 3층,37.5566071,126.9962365
리사르커피로스터스 약수점,동대입구역,4.7,590,서울 중구 다산로8길 16-7 1층,37.5524736,127.0104299
챔프커피 제3작업실,동대입구역,4.1,503,서울 중구 을지로 157 대림상가 라열 3층 381호,37.5675231,126.9954275
