BASE_YM,CTNP_NM,SGGU_NM,TRDAR_NM,MLE_Y20_BELO_SELG_AMNT,MLE_Y20_SELG_AMNT,MLE_Y30_SELG_AMNT,MLE_Y40_SELG_AMNT,MLE_Y50_SELG_AMNT,MLE_Y60_ANM_SELG_AMNT,WO_Y20_BELO_SELG_AMNT,WO_Y20_SELG_AMNT,WO_Y30_SELG_AMNT,WO_Y40_SELG_AMNT,WO_Y50_SELG_AMNT,WO_Y60_ANM_SELG_AMNT
202401,서울특별시,종로구,종각역,0,14908495,150470694,312797817,260700287,77422503,0,8776143,63439000,114893897,95429067,28817589
202402,서울특별시,중구,남대문시장,176524,65743246,430101129,713173567,530096266,356753493,142391,42870022,289959744,458243520,355323519,254051116
202307,서울특별시,강남구,신사동가로수길_1,4006728,673567341,1507355029,1031382679,647684194,199595705,4738127,533818357,1121544454,673848059,482318563,161300158
202312,서울특별시,동대문구,신설동역_2,3587559,157916574,403980223,482134234,521241265,339415759,2678079,116930046,278997162,350880300,315591425,240120943
202307,서울특별시,구로구,오류동,1656904,241164048,798216873,714032122,817732878,411700188,1592906,155729441,407927888,346458300,337120641,248586153
202406,서울특별시,송파구,가락시장역,632095,226734927,770968931,1141593165,960259089,539943722,441652,86886978,315518822,421606465,389938809,232324545
202309,서울특별시,강남구,선릉역_1,188,61035435,256784478,260199398,202513137,129898081,74,43542464,177405096,163625376,129170053,76924160
202401,서울특별시,강남구,압구정 로데오거리_1,312,204919587,1400928690,1775792925,1320139872,517338910,364,113685919,667568766,664184208,393422550,184554602
202402,서울특별시,강서구,강서구청,211620,381933156,1381355679,1499338156,1071838463,702925552,177168,159386300,577609125,623672396,477223285,298436287
202403,서울특별시,금천구,가산디지털단지역_1,261307,131994461,719516896,827681073,684867647,345478177,298034,66579551,339449581,376866539,298559515,159578856
202308,서울특별시,금천구,가산디지털단지역_1,0,240020942,672493459,786691742,546750052,196749546,0,115286828,329860796,359498322,254157062,87283108
202312,서울특별시,양천구,오목교역,1809944,262937292,562103370,767574174,617091417,99173661,1834469,155710579,295740237,370672169,304550761,52856793
202401,서울특별시,중랑구,사가정역,774727,103310875,363454240,356786561,308362706,261398355,882867,78792964,277378746,274471860,240129773,190082841
