지점,지점명,일시,1시간 최다강수량(mm),최대 풍속(m/s)
108,서울,2024-09-26,1.1,4.1
108,서울,2024-09-27,,5.2
108,서울,2024-09-28,,5
108,서울,2024-09-29,,4.1
108,서울,2024-09-30,,4.6
108,서울,2024-10-01,2.1,5.3
108,서울,2024-10-02,,4.7
108,서울,2024-10-03,,4.2
108,서울,2024-10-04,,3.8
108,서울,2024-10-05,,2.8
108,서울,2024-10-06,0,3
108,서울,2024-10-07,,3.3
108,서울,2024-10-08,,3.9
108,서울,2024-10-09,,3.8
108,서울,2024-10-10,0,3
108,서울,2024-10-11,,3.4
108,서울,2024-10-12,,3.1
108,서울,2024-10-13,,3.3
108,서울,2024-10-14,0,2.9
108,서울,2024-10-15,.4,3.7
108,서울,2024-10-16,,2.8
108,서울,2024-10-17,,2.7
108,서울,2024-10-18,20.9,5.1
108,서울,2024-10-19,.9,6.9
108,서울,2024-10-20,,5.9
108,서울,2024-10-21,0,4.8
108,서울,2024-10-22,3.6,4
108,서울,2024-10-23,2,8
108,서울,2024-10-24,,5.2
108,서울,2024-10-25,,3.2
108,서울,2024-10-26,,3.4
108,서울,2024-10-27,0,2.9
108,서울,2024-10-28,0,4.5
108,서울,2024-10-29,0,4.6
108,서울,2024-10-30,,3.8
108,서울,2024-10-31,,2.5
108,서울,2024-11-01,,3.4
108,서울,2024-11-02,,4.6
108,서울,2024-11-03,,4.3
108,서울,2024-11-04,,5.5
108,서울,2024-11-05,,5.1
108,서울,2024-11-06,,4.9
108,서울,2024-11-07,,2.7
108,서울,2024-11-08,,2.7
108,서울,2024-11-09,,2.4
108,서울,2024-11-10,,3.1
108,서울,2024-11-11,,3.1
108,서울,2024-11-12,,4.2
108,서울,2024-11-13,,3.6
108,서울,2024-11-14,,3.1
108,서울,2024-11-15,,3
108,서울,2024-11-16,,5.1
108,서울,2024-11-17,,5.2
108,서울,2024-11-18,,5.7
108,서울,2024-11-19,,3.4
108,서울,2024-11-20,,2.8
108,서울,2024-11-21,,4.3
108,서울,2024-11-22,,4.2
108,서울,2024-11-23,,3.4
108,서울,2024-11-24,,3.4
108,서울,2024-11-25,,4.4
108,서울,2024-11-26,,8.1
108,서울,2024-11-27,,5.6
108,서울,2024-11-28,,4.9
108,서울,2024-11-29,,3.1
108,서울,2024-11-30,,3.2
108,서울,2024-12-01,,4
108,서울,2024-12-02,,5.3
108,서울,2024-12-03,,4.5
108,서울,2024-12-04,,4.2
108,서울,2024-12-05,,5.7
108,서울,2024-12-06,,6.7
108,서울,2024-12-07,,5
108,서울,2024-12-08,,4.8
108,서울,2024-12-09,,3.5
108,서울,2024-12-10,,4.7
108,서울,2024-12-11,,3.3
